"_type","checkin","date","ranking","title"
"dict","1544","2018年10月27日","－","ライ麦畑で出会ったら"
"dict","107","2018年10月27日","－","夜明けまで離さない"
"dict","258","2018年10月27日","－","殺る女"
"dict","542","2018年10月27日","－","まぼろしの市街戦"
"dict","126","2018年10月27日","－","ノーマーク爆牌党"
"dict","239","2018年10月27日","－","第三世代"
"dict","204","2018年10月27日","－","心魔師"
"dict","337","2018年10月27日","－","サクらんぼの恋"
"dict","183","2018年10月27日","－","13回の新月のある年に"
"dict","589","2018年10月27日","－","ガンジスに還る"
"dict","1020","2018年10月27日","－","嘘はフィクサーのはじまり"
"dict","652","2018年10月27日","37","映画HUGっと！プリキュア・ふたりはプリキュア　オールスターズメモリーズ"
"dict","176","2018年10月26日","－","黒蝶の秘密"
"dict","138","2018年10月26日","－","恋する小説家"
"dict","402","2018年10月26日","－","怪怪怪怪物！"
"dict","222","2018年10月26日","－","狼チャイルド"
"dict","441","2018年10月26日","80","栞"
"dict","1145","2018年10月26日","74","バーフバリ　伝説誕生　完全版"
"dict","2725","2018年10月26日","29","オズランド　笑顔の魔法おしえます。"
"dict","948","2018年10月26日","24","あいあい傘"
"dict","5024","2018年10月26日","21","search サーチ"
"dict","3559","2018年10月26日","12","旅猫リポート"
